Ville;Latitude;Longitude
Depot Sainte livrade sur lot Julia;44.39456658602275; 0.593148108313063
Sud production Lafox;44.16921657545848; 0.6923442171180901
PA Monflanquin (expalliance);44.538731337642034; 0.7736529319267194
Saint pierre de clairac;44.17265169649369; 0.737556405358555
PA Bazas;44.44668970909657; -0.2344759820548632
Bureaux/maintenance gardes Tonneins;44.3897798975188; 0.31862094133064695
TDS CE Boutx;;
Monsegur;44.64555547209258; 0.066892181484821
Lanouaille;45.38815489649573; 1.1379072738321963
Gardes Tonneins;44.3897798975188; 0.31862094133064695
Cancon;44.53659713627984; 0.6209444474718078
Castelmoron sur lot (site);44.40397146709465; 0.4991047266439535
Tayrac;44.195357442041335; 0.802632329227198
Tonneins La queille (silo);44.40255645540206; 0.3046827802106036
Saint Colomb de Lauzun;44.62752064975149; 0.4645247685648485
Castillonnes;44.66319579882708; 0.6016593372948059
La réole Frimont;44.583407739318346; -0.07549126413873629
Nérac;44.15731349579836; 0.3119354205825428
Castets en dorthe;44.55836839553512; -0.15274274167498172
Saint pardoux;44.60861706304177; 0.3559815106332015
Tonneins La queille(site);44.40255645540206; 0.3046827802106036
Coussan Marmande;44.48700827442575; 0.19090445938811376
Duras;44.67988168081745; 0.1923696321991864
Clairac;44.36427341396627; 0.3826619027344288
Damazan;44.29667861562006; 0.27473988240649605
Pardaillan;44.64174743484252; 0.262126086143956
Layrac Goulens;44.09844657778208; 0.6574466630042387
Bouglon;44.4106118723036; 0.12582732914949082
Coursac;45.14202442274905; 0.6777170674305937
Castelmoron sur lot(silo);44.40397146709465; 0.4991047266439535
Structure op fruit e legume marmande;44.511682772507946; 0.1437488008384862
Garage saint pardoux;44.60861706304177; 0.3559815106332015
Siège Clairac;44.360766111155485; 0.3771148222087088
Siège Carré vert Clairac;44.360766111155485; 0.3771148222087088
Siège végétal TDS Clairac;44.360766111155485; 0.3771148222087088
Tonneins Delta sud;44.40429249754184; 0.2994746824267205
Boé;44.1806422956271; 0.6580007645766152
Montayral pro;44.48389793880046; 0.9741974951677158
La réole GV;44.583508904280045; -0.07048291269432141
Bergerac;44.84095508014692; 0.46506466859673923
Marmande Lisa;44.50795617054601; 0.1427908378652335
Miramont de guyenne;44.59900267033884; 0.3567338897840862
Tonneins ZI;44.40255645540206; 0.3046827802106036
Tonneins motoculture;44.40432797169456; 0.2986632439202845
Marmande grand sud;44.486910211102014; 0.17997185229282295
Casteljaloux;44.3173863179694; 0.07979688650685789
Boé motoculture;44.177281459838504; 0.6396691678365436
Colayrac;44.221810728690066; 0.5706734284889836
Marmande motoculture (innovert);44.51097771287561; 0.13642517173688273
Villeneuve glady;44.40561127876708; 0.6920748152989318
Villeneuve marché gare;44.394495728071945; 0.7264219336268399
Castillon la bataille;44.85801036267924; -0.028156283014810043
Boé gardes gamm vert;44.17683799994699; 0.6399514698950776
Podensac;44.65591271820659; -0.36719792396629225
Aire sur adour;43.703788283912615; -0.24802545619456193
Grenade sur adour;43.778410143498505; -0.43550942695416955
Tartas;43.83285147429278; -0.8112331073289125
Laroque timbaut;44.28278576289613; 0.7642595458918328
Montayral GV;44.48394587204266; 0.97417402247907
Monflanquin;44.526672284425736; 0.7599871194028672
Villereal;44.634881534183634; 0.7446712045794369
Serignac sur garonne;44.21089341626211; 0.49763597474179927
Samazan (annexe);44.433909097580965; 0.12167059723357147
Samazan (plateforme);44.43151792602489; 0.12708551070429713
SCI de la seoune;44.33462770983334; 1.013964474909557
Soses ma Sainte bazeille;44.54450506986351; 0.09012844675409212
Sosesma sa;44.54450506986351; 0.09012844675409212
Damazan;44.29743071843522; 0.27604890122756875
Lagarrigue;44.29768871763765; 0.37329097091610014
Port-sainte-marie;44.25515826765999; 0.3674391187951908
ST VITE Fontauzel;44.467715449711584; 0.9512009580973111
Calonges;44.369287266323795; 0.23806561998608539
Saint sardos;44.34740110093797; 0.47506335314925574
Gontaud de nogaret;44.458887776581236; 0.3015191081648969
Bassens;;
Villereal;44.6335059614562; 0.7416141141605946
Monflanquin;44.53218984401441; 0.771866617251872
Caudecoste;44.10720482619162; 0.7515852985732685
Laplume;44.09233055910862; 0.5558480075856248
Serignac sur garonne;44.21873726854135; 0.4824647157633831
Meilhan sur garonne;44.492925952621974; 0.06524784729842985
Samazan;44.43045898642088; 0.12507288734554925
Le nomdieu / St vincent de lamontjoie;44.093656050135095; 0.47920987322057673
Garrigues Marmande;44.487028034329775; 0.1905736373783764
Castillonnes Moulin;44.66283523782728; 0.6020536220121969
Negrondes;45.33690470074304; 0.8683808010033138
La douze;45.043508681748406; 0.8683827815003581
Monbahus les laurens;44.53551561150416; 0.507053795338126
Lasserre Moncrabeau;44.065280861245675; 0.36744865643084174
Seyches;44.55324705388869; 0.3097825341918902
Meilhan adena;44.50866846549428; 0.032461559753953276
port sainte foy;44.83879498113018; 0.19578562660142287
Levignac de guyenne;44.62260482830027; 0.2011595329178026
Temple sur lot;44.374757980055044; 0.5067429564488766
Vares;44.41630077566615; 0.33827130859798465
Lamothe mongauzy;44.56398265471214; 0.03939783444073703
Le puy;44.656869723355186; 0.07072361529056334
Layrac Vigneau;44.10607582025837; 0.6067700483012713
Bergerac (abattoir) BO;44.85472329401987; 0.5123279914557339
 Boulazac(Saint Laurent (abattoir)) DFG ;45.153084071719825;0.7891231593052502
Chamberlanne Aliments;45.225937437644326; 0.04702328764110991
(Blason d'or ST Laurent) Bergerac DFG;44.85552810703537;0.5223902379690727
Tomates d'aquitaine bergerac;44.8506500843342; 0.45444536724715895
Couvee d'aquitaine;44.41334262194176; 0.3141172636568187
Castel maïs Casteljaloux;44.325765914133996; 0.08539686553931598
Mussidan(inovchataingne);45.039080394076144; 0.36550855293358064
Busserolles(inovchataingne);;
Lamonzie saint martin(inovchataingne);;
Saint Medard de mussidan (inovchataingne);45.043134496682136; 0.34930214084774874
Saint michel de double(inovchataingne);;
Vezac;44.83292512786135; 1.1647963853992223
penne (silo);44.38034227876831; 0.8027115004773183
penne GV (vendu);;
verteuil silo (vendu);;
verteuil magasin (vendu);;
