Site,Latitude,Longitude,PS_plus_proche,Distance_km,Unnamed: 5,PS_latitude,PS_longitude,Distance_calculee_km
Dépôt Sainte Livrade sur Lot Julia,44.39456658602275,0.593148108313063,Sainte-Livrade-sur-Lot,1.133207,,44.394676888901344,0.6073705539219958,1.13
Sud Production Lafox,44.16921657545848,0.6923442171180901,Boé,2.385764,,44.173251634914,0.6630444327021436,2.38
PA Monflanquin (Expalliance),44.538731337642034,0.7736529319267194,Cancon,10.089577,,44.53679385894234,0.6467341173080908,10.062
Saint Pierre de Clairac,44.17265169649369,0.737556405358555,Boé,5.959306,,44.173251634914,0.6630444327021436,5.943
PA Bazas,44.44668970909657,-0.2344759820548632,Bazas,3.903643,,44.41362896652908,-0.2178994378387507,3.905
Bureaux/Maintenance Gardes Tonneins,44.3897798975188,0.3186209413306469,Tonneins,2.626109,,44.41153818489076,0.305753537060125,2.627
TDS CE Boutx,,,,,,,,
Monsegur,44.64555547209258,0.066892181484821,Auriolles,11.338269,,44.7450061476583,0.0349261376019113,11.343
Lanouaille,45.38815489649573,1.1379072738321965,Saint-Martial-d'Albarède,9.762314,,45.329976904020576,1.044559211142276,9.749
Gardes Tonneins,44.3897798975188,0.3186209413306469,Tonneins,2.626109,,44.41153818489076,0.305753537060125,2.627
Cancon,44.53659713627984,0.6209444474718078,Cancon,2.049871,,44.53679385894234,0.6467341173080908,2.044
Castelmoron sur Lot (Site),44.40397146709465,0.4991047266439535,Sainte-Livrade-sur-Lot,8.686753,,44.394676888901344,0.6073705539219958,8.663
Tayrac,44.195357442041335,0.802632329227198,Valence,10.86681,,44.116532419178185,0.8830392018824986,10.861
Tonneins La Queille (Silo),44.40255645540206,0.3046827802106036,Tonneins,1.001689,,44.41153818489076,0.305753537060125,1.002
Saint Colomb de Lauzun,44.62752064975149,0.4645247685648485,La Sauvetat-du-Dropt,10.152044,,44.64885547076901,0.3401089863351944,10.126
Castillonnès,44.66319579882708,0.6016593372948059,Doudrac,5.37189,,44.66076459938722,0.6693072509329964,5.357
La Réole Frimont,44.583407739318346,-0.0754912641387362,La Réole,3.59938,,44.59253145291747,-0.0319999667526807,3.59
Nérac,44.15731349579836,0.3119354205825428,Nérac,1.477898,,44.14748166373991,0.3243770629010126,1.477
Castets en Dorthe,44.55836839553512,-0.1527427416749817,Langon,7.534405,,44.53564463296002,-0.2420726749784557,7.516
Saint Pardoux,44.60861706304177,0.3559815106332015,La Sauvetat-du-Dropt,4.645488,,44.64885547076901,0.3401089863351944,4.647
Tonneins La Queille (Site),44.40255645540206,0.3046827802106036,Tonneins,1.001689,,44.41153818489076,0.305753537060125,1.002
Coussan Marmande,44.48700827442575,0.1909044593881137,Marmande,0.306048,,44.486299794815935,0.1946223399658521,0.305
Duras,44.67988168081745,0.1923696321991864,La Sauvetat-du-Dropt,12.213339,,44.64885547076901,0.3401089863351944,12.183
Clairac,44.36427341396627,0.3826619027344288,Tonneins,4.31217,,44.352522775551215,0.3311109810946751,4.302
Damazan,44.29667861562006,0.274739882406496,Tonneins,7.663246,,44.352522775551215,0.3311109810946751,7.659
Pardaillan,44.64174743484252,0.262126086143956,La Sauvetat-du-Dropt,6.236744,,44.64885547076901,0.3401089863351944,6.22
Layrac Goulens,44.09844657778208,0.6574466630042387,Boé,8.324018,,44.173251634914,0.6630444327021436,8.33
Bouglon,44.4106118723036,0.1258273291494908,Casteljaloux,10.487274,,44.31889976434834,0.0947759714463629,10.492
Coursac,45.14202442274905,0.6777170674305937,Marsac-sur-l'Isle,5.627019,,45.191889723544485,0.6653063647227954,5.629
Castelmoron sur Lot (Silo),44.40397146709465,0.4991047266439535,Sainte-Livrade-sur-Lot,8.686753,,44.394676888901344,0.6073705539219958,8.663
Structure Op Fruit et Légume Marmande,44.511682772507946,0.1437488008384862,Marmande,1.98768,,44.513901608944,0.1685541667590634,1.982
Garage Saint Pardoux,44.60861706304177,0.3559815106332015,La Sauvetat-du-Dropt,4.645488,,44.64885547076901,0.3401089863351944,4.647
Siège Clairac,44.360766111155485,0.3771148222087088,Tonneins,3.780274,,44.352522775551215,0.3311109810946751,3.771
Siège Carré Vert Clairac,44.360766111155485,0.3771148222087088,Tonneins,3.780274,,44.352522775551215,0.3311109810946751,3.771
Siège Végétal TDS Clairac,44.360766111155485,0.3771148222087088,Tonneins,3.780274,,44.352522775551215,0.3311109810946751,3.771
Tonneins Delta Sud,44.40429249754184,0.2994746824267205,Tonneins,0.947836,,44.41153818489076,0.305753537060125,0.948
Boé,44.1806422956271,0.6580007645766152,Boé,0.914918,,44.173251634914,0.6630444327021436,0.915
Montayral Pro,44.48389793880046,0.9741974951677158,Fumel,2.725339,,44.49744623418871,0.9456370322754096,2.721
La Réole GV,44.583508904280045,-0.0704829126943214,La Réole,3.216196,,44.59253145291747,-0.0319999667526807,3.208
Bergerac,44.84095508014692,0.4650646685967392,Bergerac,1.710569,,44.835848820878105,0.4854737058031122,1.706
Marmande Lisa,44.50795617054601,0.1427908378652335,Marmande,2.152463,,44.513901608944,0.1685541667590634,2.147
Miramont de Guyenne,44.59900267033884,0.3567338897840862,La Sauvetat-du-Dropt,5.694807,,44.64885547076901,0.3401089863351944,5.697
Tonneins ZI,44.40255645540206,0.3046827802106036,Tonneins,1.001689,,44.41153818489076,0.305753537060125,1.002
Tonneins Motoculture,44.40432797169456,0.2986632439202845,Tonneins,0.980251,,44.41153818489076,0.305753537060125,0.98
Marmande Grand Sud,44.486910211102014,0.1799718522928229,Marmande,1.167386,,44.486299794815935,0.1946223399658521,1.164
Casteljaloux,44.3173863179694,0.0797968865068578,Casteljaloux,1.206753,,44.31889976434834,0.0947759714463629,1.204
Boé Motoculture,44.1772814598385,0.6396691678365436,Boé,1.922195,,44.173251634914,0.6630444327021436,1.917
Colayrac,44.22181072869007,0.5706734284889836,Le Passage,3.079861,,44.20627265588318,0.6025866196566296,3.075
Marmande Motoculture (Innovert),44.51097771287561,0.1364251717368827,Marmande,2.57524,,44.513901608944,0.1685541667590634,2.568
Villeneuve Glady,44.40561127876708,0.6920748152989318,Villeneuve-sur-Lot,2.487703,,44.40224721500525,0.7229492231391117,2.481
Villeneuve Marché Gare,44.394495728071945,0.7264219336268399,Villeneuve-sur-Lot,0.904687,,44.40224721500525,0.7229492231391117,0.905
Castillon la Bataille,44.85801036267924,-0.02815628301481,Saint-Pey-d'Armens,7.463137,,44.85705215477154,-0.1225665816370722,7.442
Boé Gardes Gamm Vert,44.17683799994699,0.6399514698950776,Boé,1.889251,,44.173251634914,0.6630444327021436,1.884
Podensac,44.65591271820659,-0.3671979239662922,Podensac,2.274976,,44.6433290941217,-0.3445764386154625,2.272
Aire sur Adour,43.703788283912615,-0.2480254561945619,Aire-sur-l'Adour,1.186779,,43.70711324927623,-0.2620178791229856,1.184
Grenade sur Adour,43.778410143498505,-0.4355094269541695,Bascons,6.280487,,43.825695214695735,-0.3927458679087052,6.279
Tartas,43.83285147429278,-0.8112331073289125,Audon,2.933561,,43.80797861904404,-0.8234652031105554,2.935
Laroque Timbaut,44.28278576289613,0.7642595458918328,Villeneuve-sur-Lot,13.677074,,44.40224721500525,0.7229492231391117,13.684
Montayral GV,44.48394587204266,0.97417402247907,Fumel,2.720842,,44.49744623418871,0.9456370322754096,2.716
Monflanquin,44.526672284425736,0.7599871194028672,Cancon,9.072065,,44.53679385894234,0.6467341173080908,9.047
Villereal,44.634881534183634,0.7446712045794369,Doudrac,6.6344,,44.66076459938722,0.6693072509329964,6.62
Sérignac sur Garonne,44.21089341626211,0.4976359747417992,Bruch,6.567579,,44.20543041548823,0.4158161913416148,6.55
Samazan (Annexe),44.433909097580965,0.1216705972335714,Marmande,8.221887,,44.486299794815935,0.1946223399658521,8.213
Samazan (Plateforme),44.43151792602489,0.1270855107042971,Marmande,8.120764,,44.486299794815935,0.1946223399658521,8.114
SCI de la Seoune,44.33462770983334,1.013964474909557,Lauzerte,10.288196,,44.26705329945519,1.1020999426267202,10.279
Soses Ma Sainte Bazeille,44.54450506986351,0.0901284467540921,Marmande,7.101293,,44.513901608944,0.1685541667590634,7.087
Sosesma SA,44.54450506986351,0.0901284467540921,Marmande,7.101293,,44.513901608944,0.1685541667590634,7.087
Damazan,44.29743071843522,0.2760489012275687,Tonneins,7.534372,,44.352522775551215,0.3311109810946751,7.531
Lagarrigue,44.29768871763765,0.3732909709161001,Tonneins,6.960315,,44.352522775551215,0.3311109810946751,6.96
Port-Sainte-Marie,44.25515826765999,0.3674391187951908,Bruch,6.743235,,44.20543041548823,0.4158161913416148,6.74
ST VITE Fontauzel,44.467715449711584,0.9512009580973112,Fumel,3.333254,,44.49744623418871,0.9456370322754096,3.335
Calonges,44.3692872663238,0.2380656199860853,Tonneins,7.150492,,44.41153818489076,0.305753537060125,7.141
Saint Sardos,44.34740110093797,0.4750633531492557,Sainte-Livrade-sur-Lot,11.781524,,44.394676888901344,0.6073705539219958,11.757
Gontaud de Nogaret,44.45888777658124,0.3015191081648969,Gontaud-de-Nogaret,2.700712,,44.4785114908112,0.3215430965968543,2.699
Bassens,,,,,,,,
Villereal,44.6335059614562,0.7416141141605946,Doudrac,6.486741,,44.66076459938722,0.6693072509329964,6.474
Monflanquin,44.53218984401441,0.771866617251872,Cancon,9.959013,,44.53679385894234,0.6467341173080908,9.932
Caudecoste,44.10720482619162,0.7515852985732685,Saint-Antoine,9.256339,,44.03420379490015,0.8072487215202531,9.256
Laplume,44.09233055910862,0.5558480075856248,Le Passage,13.201349,,44.20627265588318,0.6025866196566296,13.207
Sérignac sur Garonne,44.21873726854135,0.4824647157633831,Bruch,5.527963,,44.20543041548823,0.4158161913416148,5.514
Meilhan sur Garonne,44.49292595262197,0.0652478472984298,Marmande,8.53968,,44.513901608944,0.1685541667590634,8.518
Samazan,44.43045898642088,0.1250728873455492,Marmande,8.315127,,44.486299794815935,0.1946223399658521,8.308
Le Nomdieu/St Vincent de Lamontjoie,44.093656050135095,0.4792098732205767,Bruch,13.415476,,44.20543041548823,0.4158161913416148,13.418
Garrigues Marmande,44.487028034329775,0.1905736373783764,Marmande,0.332076,,44.486299794815935,0.1946223399658521,0.331
Castillonnès Moulin,44.66283523782728,0.6020536220121969,Doudrac,5.338799,,44.66076459938722,0.6693072509329964,5.324
Négrondes,45.33690470074304,0.8683808010033138,Thiviers,8.499191,,45.40982072857211,0.9010885673073068,8.501
La Douze,45.043508681748406,0.8683827815003581,Fossemagne,13.91394,,45.14105730753672,0.9791794499691232,13.903
Monbahus Les Laurens,44.53551561150416,0.507053795338126,Tombebœuf,6.323758,,44.50034163154989,0.4445272901086244,6.315
Lasserre Moncrabeau,44.06528086124568,0.3674486564308417,Nérac,9.762985,,44.14748166373991,0.3243770629010126,9.766
Seyches,44.55324705388869,0.3097825341918902,Gontaud-de-Nogaret,8.357264,,44.4785114908112,0.3215430965968543,8.362
Meilhan Adena,44.50866846549428,0.0324615597539532,La Réole,10.634014,,44.59253145291747,-0.0319999667526807,10.632
Port Sainte Foy,44.83879498113018,0.1957856266014228,Pineuilh,3.140265,,44.84100271741451,0.2353811774194503,3.132
Lévignac de Guyenne,44.62260482830027,0.2011595329178026,Marmande,12.354023,,44.513901608944,0.1685541667590634,12.36
Temple sur Lot,44.37475798005504,0.5067429564488766,Sainte-Livrade-sur-Lot,8.318495,,44.394676888901344,0.6073705539219958,8.298
Varès,44.41630077566615,0.3382713085979846,Tonneins,2.643443,,44.41153818489076,0.305753537060125,2.637
Lamothe Mongauzy,44.56398265471214,0.039397834440737,La Réole,6.49773,,44.59253145291747,-0.0319999667526807,6.485
Le Puy,44.65686972335519,0.0707236152905633,Auriolles,10.196895,,44.7450061476583,0.0349261376019113,10.201
Layrac Vigneau,44.10607582025837,0.6067700483012713,Boé,8.717306,,44.173251634914,0.6630444327021436,8.716
Bergerac (Abattoir) BO,44.85472329401987,0.5123279914557339,Bergerac,2.689344,,44.87217582137984,0.4887551212557128,2.687
Boulazac (Saint Laurent - Abattoir) DFG,45.15308407171983,0.7891231593052502,Boulazac Isle Manoire,3.848224,,45.17756141596894,0.7545018395088633,3.844
Chamberlanne Aliments,45.225937437644326,0.0470232876411099,Chalais,5.431353,,45.27480825356522,0.0468723555107812,5.434
(Blason d'Or ST Laurent) Bergerac DFG,44.85552810703537,0.5223902379690727,Bergerac,3.238704,,44.87217582137984,0.4887551212557128,3.233
Tomates d'Aquitaine Bergerac,44.8506500843342,0.4544453672471589,Bergerac,2.953549,,44.835848820878105,0.4854737058031122,2.948
Couvée d'Aquitaine,44.41334262194176,0.3141172636568187,Tonneins,0.69568,,44.41153818489076,0.305753537060125,0.694
Castel Maïs Casteljaloux,44.325765914134,0.0853968655393159,Casteljaloux,1.068584,,44.31889976434834,0.0947759714463629,1.068
Mussidan (InovChataigné),45.039080394076144,0.3655085529335806,Saint-Médard-de-Mussidan,2.585886,,45.02738869873551,0.3371365932168472,2.581
Busserolles (InovChataigné),,,,,,,,
Lamonzie Saint Martin (InovChataigné),,,,,,,,
Saint Médard de Mussidan (InovChataigné),45.043134496682136,0.3493021408477487,Saint-Médard-de-Mussidan,1.995246,,45.02738869873551,0.3371365932168472,1.995
Saint Michel de Double (InovChataigné),,,,,,,,
Vézac,44.83292512786135,1.1647963853992225,Sarlat-la-Canéda,5.769931,,44.87321888423197,1.210830069901765,5.766
Penne (Silo),44.38034227876831,0.8027115004773183,Villeneuve-sur-Lot,6.805418,,44.40224721500525,0.7229492231391117,6.79
Penne GV (Vendu),,,,,,,,
Verteuil Silo (Vendu),,,,,,,,
Verteuil Magasin (Vendu),,,,,,,,
